description,upc,quantity,done,unit,price,note,coupon_amount,coupon_type,coupon_note,tax_free,category
"Pañuelos desechables Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Higene
"Zanahorias amarilla 6u Mega",,1.0,False,NOT_SPECIFIED,0.8,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Grosellas encurtidas Mega",,1.0,False,NOT_SPECIFIED,1.27,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Sopas maggi Mega",,2.0,False,NOT_SPECIFIED,0.68,"",0.0,AMOUNT,"",True,Abarrotes
"Galleta Huesitos pequeña perro Mega",,1.0,False,NOT_SPECIFIED,2.67,"",0.0,AMOUNT,"",True,Mascotas
"Limpiador easy off cocina mega",,3.0,False,NOT_SPECIFIED,1.68,"",0.0,AMOUNT,"",True,Limpieza
"Sapolio jardín Mega",,1.0,False,NOT_SPECIFIED,2.2,"",0.0,AMOUNT,"",True,Jardin
"Perejil Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Arena gatos Alta Gama 4kg Mega",,1.0,False,NOT_SPECIFIED,8.29,"",0.0,AMOUNT,"",True,Mascotas
"Tomate de arbol 8u Mega",,1.0,False,NOT_SPECIFIED,1.06,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Lasaña sumesa Mega",,1.0,False,NOT_SPECIFIED,3.05,"",0.0,AMOUNT,"",True,Abarrotes
"Frambuesa Mega",,1.0,False,NOT_SPECIFIED,2.76,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Garbanzo Mega",,1.0,False,NOT_SPECIFIED,1.15,"",0.0,AMOUNT,"",True,Abarrotes
"Clavo de olor Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Abarrotes
"Cafe Toscana 110g Mega",,6.0,False,NOT_SPECIFIED,3.13,"",0.0,AMOUNT,"",True,Abarrotes
"Espuma de afeitar gillete Mega",,1.0,False,NOT_SPECIFIED,3.99,"",0.0,AMOUNT,"",True,Higene
"Leche en funda Semidescremada 1lMega",,12.0,False,NOT_SPECIFIED,0.79,"",0.0,AMOUNT,"",True,Lacteos
"Crema de leche Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Lacteos
"Mascarilla Natural vital 300 ml cabello rojo Mega",,1.0,False,NOT_SPECIFIED,6.4,"",0.0,AMOUNT,"",True,Limpieza
"Zuquini mega",,1.0,False,NOT_SPECIFIED,0.45,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Gel antiseptico Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",False,Higene
"Pala de basura mega",,1.0,False,NOT_SPECIFIED,2.0,"",0.0,AMOUNT,"",True,Limpieza
"El Postre, el postre, el postre",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Snacks
"Lechuga criolla Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Ajo molido 250g Mega",,1.0,False,NOT_SPECIFIED,1.92,"",0.0,AMOUNT,"",True,Abarrotes
"Fundas megamaxi grande Mega",,2.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Hogar
"Galleta Huesitos pequeña perro Mega",,1.0,False,NOT_SPECIFIED,2.67,"",0.0,AMOUNT,"",True,Mascotas
"Apio Mega",,1.0,False,NOT_SPECIFIED,0.72,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Choclo mega",,1.0,False,NOT_SPECIFIED,2.11,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Guitig 300 ml Mega",,4.0,False,NOT_SPECIFIED,0.38,"",0.0,AMOUNT,"",True,Abarrotes
"Hierbas aromaticas Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Hueso Ingrid Mega",,1.0,False,NOT_SPECIFIED,1.42,"",0.0,AMOUNT,"",True,Mascotas
"Comida de gato Roja",,1.0,False,NOT_SPECIFIED,10.0,"",0.0,AMOUNT,"",True,Mascotas
